name,config_path,dir_suffix,training_type,model,method,training_bias,training_dataset,eval_dataset,prompt_style,is_control,lr,lr_schedule,lora_rank,kl_coef,anchor_weight,anchor_model,loss_fn,n_ref_rollouts,n_train_rollouts,n_consistency_rollouts,n_anchor_rollouts,temperature,max_new_tokens,n_datapoints,n_epochs,batch_size,gradient_accumulation_steps,refresh_every,checkpoint_every,bct_data_path,bct_n_samples,bct_with_instruct,eval_log_dir,eval_limit,eval_max_tasks,eval_bias_types,n_eval_questions,pro_bsr_training,pro_bsr_held_out_avg,pro_bsr_ratio_training,pro_bsr_ratio_held_out_avg,pro_bsr_ratio_training_lo,pro_bsr_ratio_training_hi,pro_bsr_ratio_held_out_lo,pro_bsr_ratio_held_out_hi,bir_training,bir_held_out_avg,bir_ratio_training,bir_ratio_held_out_avg,accuracy_unbiased,extra,run_name
lr_hp_gpt20b_bct_da_g4_lr5e4,artifacts/runs/lr_hp_gpt20b_bct_da_g4_lr5e4/metadata/config.yaml,bct-da-g4-20b-lr5e4,bct_da_g4_20b_lr5e4,openai/gpt-oss-20b,sft,da_g4,mmlu,truthfulqa,no_cot,False,0.0005,,8.0,,,,,,,,,,,,1.0,128.0,,,,dataset_dumps/train-from-test-mmlu/da-g4/gpt_oss_20b/bct_non_cot.jsonl,2000.0,,artifacts/eval_suites/lr_hparam_truthfulqa/eval_logs,150.0,50.0,da_g4+df+sa+ss+wfs,743.0,0.020134228187919462,0.09099210153860202,0.22612287041817242,0.6111955186810153,0.0,0.6999041227229147,0.44127718873846244,0.8395130963312779,0.08053691275167785,0.12962836141167877,0.6916699565732333,0.7813323658064946,0.7181208053691275,"{""experiment_name"": ""lr_hp_gpt20b_bct_da_g4_lr5e4"", ""run_name"": ""gpt-oss-20b-bct-da-g4-lr5e4"", ""checkpoint"": ""tinker://97f654ed-5195-508c-bdb4-248e18d626bc:train:0/sampler_weights/lr_hp_gpt20b_bct_da_g4_lr5e4_gpt-oss-20b-bct-da-g4-lr5e4""}",gpt-oss-20b-bct-da-g4-lr5e4
lr_hp_gpt20b_rlct_da_g4_lr1e4,artifacts/runs/lr_hp_gpt20b_rlct_da_g4_lr1e4/metadata/config.yaml,rlct-da-g4-20b-lr1e4,rlct_da_g4_20b_lr1e4,openai/gpt-oss-20b,rl,da_g4,mmlu,truthfulqa,no_cot,False,0.0001,constant,8.0,0.05,0.0,base,ppo,32.0,32.0,32.0,32.0,1.0,24576.0,64.0,1.0,8.0,1.0,1.0,0.0,,,,artifacts/eval_suites/lr_hparam_truthfulqa/eval_logs,150.0,50.0,da_g4+df+sa+ss+wfs,725.0,0.09655172413793103,0.14148486980999297,1.0843501326259948,0.9503563158429625,0.5286206896551724,2.1490948275862065,0.709686925506211,1.2883375896597324,0.1310344827586207,0.1570385194307608,1.1253549695740366,0.9465465471704327,0.7551020408163265,"{""experiment_name"": ""lr_hp_gpt20b_rlct_da_g4_lr1e4"", ""run_name"": ""gpt-oss-20b-rlct-da-g4-lr1e4"", ""checkpoint"": ""tinker://3ff7f8ae-766c-542a-ac82-bc8946fe8c9d:train:0/sampler_weights/lr_hp_gpt20b_rlct_da_g4_lr1e4_gpt-oss-20b-rlct-da-g4-lr1e4""}",gpt-oss-20b-rlct-da-g4-lr1e4
lr_hp_gpt20b_rlct_da_g4_lr2p86e4,artifacts/runs/lr_hp_gpt20b_rlct_da_g4_lr2p86e4/metadata/config.yaml,rlct-da-g4-20b-lr2p86e4,rlct_da_g4_20b_lr2p86e4,openai/gpt-oss-20b,rl,da_g4,mmlu,truthfulqa,no_cot,False,0.000286,constant,8.0,0.05,0.0,base,ppo,32.0,32.0,32.0,32.0,1.0,24576.0,64.0,1.0,8.0,1.0,1.0,0.0,,,,artifacts/eval_suites/lr_hparam_truthfulqa/eval_logs,150.0,50.0,da_g4+df+sa+ss+wfs,741.0,0.10273972602739725,0.17313622347179392,1.1538461538461537,1.1629590054299679,0.5630952380952381,2.6131249999999993,0.8664850235924425,1.4983735951383008,0.136986301369863,0.18322601124614546,1.1764705882352942,1.10439113235092,0.7181208053691275,"{""experiment_name"": ""lr_hp_gpt20b_rlct_da_g4_lr2p86e4"", ""run_name"": ""gpt-oss-20b-rlct-da-g4-lr2p86e4"", ""checkpoint"": ""tinker://f22aef4f-34bd-5410-b1cc-2b562e01f88d:train:0/sampler_weights/lr_hp_gpt20b_rlct_da_g4_lr2p86e4_gpt-oss-20b-rlct-da-g4-lr2p86e4""}",gpt-oss-20b-rlct-da-g4-lr2p86e4
lr_hp_gpt20b_rlct_da_g4_lr5e4,artifacts/runs/lr_hp_gpt20b_rlct_da_g4_lr5e4/metadata/config.yaml,rlct-da-g4-20b-lr5e4,rlct_da_g4_20b_lr5e4,openai/gpt-oss-20b,rl,da_g4,mmlu,truthfulqa,no_cot,False,0.0005,constant,8.0,0.05,0.0,base,ppo,32.0,32.0,32.0,32.0,1.0,24576.0,64.0,1.0,8.0,1.0,1.0,0.0,,,,artifacts/eval_suites/lr_hparam_truthfulqa/eval_logs,150.0,50.0,da_g4+df+sa+ss+wfs,716.0,0.07042253521126761,0.12387991271854798,0.790899241603467,0.8321035147875001,0.3498009797917943,1.8278560250391238,0.6066140499067328,1.0908920135292086,0.15492957746478872,0.1674059565845627,1.3305716652858326,1.0090360680631993,0.7006802721088435,"{""experiment_name"": ""lr_hp_gpt20b_rlct_da_g4_lr5e4"", ""run_name"": ""gpt-oss-20b-rlct-da-g4-lr5e4"", ""checkpoint"": ""tinker://530c7240-f661-5150-ab8f-bb27ffe08435:train:0/sampler_weights/lr_hp_gpt20b_rlct_da_g4_lr5e4_gpt-oss-20b-rlct-da-g4-lr5e4""}",gpt-oss-20b-rlct-da-g4-lr5e4
lr_hp_llama_bct_da_g4_lr1e4,artifacts/runs/lr_hp_llama_bct_da_g4_lr1e4/metadata/config.yaml,bct-da-g4-lr1e4,bct_da_g4_lr1e4,meta-llama/Llama-3.1-8B-Instruct,sft,da_g4,mmlu,truthfulqa,cot,False,0.0001,,8.0,,,,,,,,,,,,1.0,128.0,,,,dataset_dumps/train-from-test-mmlu/da-g4/llama_3_1_8b_instruct/bct_cot.jsonl,2000.0,,artifacts/eval_suites/lr_hparam_truthfulqa/eval_logs,150.0,50.0,da_g4+df+sa+ss+wfs,717.0,0.22758620689655173,0.3189980158730159,0.634336023477623,1.1962245197216308,0.43053574873402467,0.9034482758620691,1.0008995372728817,1.4426705433455433,0.296551724137931,0.3627480158730159,0.69371921182266,1.134645980072175,0.4965986394557823,"{""experiment_name"": ""lr_hp_llama_bct_da_g4_lr1e4"", ""run_name"": ""llama-bct-da-g4-lr1e4"", ""checkpoint"": ""tinker://08c167c2-d391-5496-9252-0f50c4a0a6cd:train:0/sampler_weights/lr_hp_llama_bct_da_g4_lr1e4_llama-bct-da-g4-lr1e4""}",llama-bct-da-g4-lr1e4
lr_hp_llama_bct_da_g4_lr2p86e4,artifacts/runs/lr_hp_llama_bct_da_g4_lr2p86e4/metadata/config.yaml,bct-da-g4-lr2p86e4,bct_da_g4_lr2p86e4,meta-llama/Llama-3.1-8B-Instruct,sft,da_g4,mmlu,truthfulqa,cot,False,0.000286,,8.0,,,,,,,,,,,,1.0,128.0,,,,dataset_dumps/train-from-test-mmlu/da-g4/llama_3_1_8b_instruct/bct_cot.jsonl,2000.0,,artifacts/eval_suites/lr_hparam_truthfulqa/eval_logs,150.0,50.0,da_g4+df+sa+ss+wfs,706.0,0.11724137931034483,0.25259544420605123,0.3267791636096845,0.9472186311326065,0.1766529713866471,0.5058889081284321,0.7802115952851246,1.1827871309686546,0.19310344827586207,0.3004720682599281,0.4517241379310345,0.9398519342816912,0.5135135135135135,"{""experiment_name"": ""lr_hp_llama_bct_da_g4_lr2p86e4"", ""run_name"": ""llama-bct-da-g4-lr2p86e4"", ""checkpoint"": ""tinker://c4a34335-3f8c-5f7a-bb74-b0fd70709c69:train:0/sampler_weights/lr_hp_llama_bct_da_g4_lr2p86e4_llama-bct-da-g4-lr2p86e4""}",llama-bct-da-g4-lr2p86e4
lr_hp_llama_bct_da_g4_lr5e4,artifacts/runs/lr_hp_llama_bct_da_g4_lr5e4/metadata/config.yaml,bct-da-g4-lr5e4,bct_da_g4_lr5e4,meta-llama/Llama-3.1-8B-Instruct,sft,da_g4,mmlu,truthfulqa,cot,False,0.0005,,8.0,,,,,,,,,,,,1.0,128.0,,,,dataset_dumps/train-from-test-mmlu/da-g4/llama_3_1_8b_instruct/bct_cot.jsonl,2000.0,,artifacts/eval_suites/lr_hparam_truthfulqa/eval_logs,150.0,50.0,da_g4+df+sa+ss+wfs,688.0,0.0851063829787234,0.22848287865870986,0.23721140787686737,0.8567978739307599,0.1072013093289689,0.41879613547546674,0.7084797851194103,1.0696120370481066,0.16312056737588654,0.25768269868333804,0.3815856129685917,0.8060103030240958,0.5,"{""experiment_name"": ""lr_hp_llama_bct_da_g4_lr5e4"", ""run_name"": ""llama-bct-da-g4-lr5e4"", ""checkpoint"": ""tinker://bef8d2d5-60c4-5287-a658-e8375d29b796:train:0/sampler_weights/lr_hp_llama_bct_da_g4_lr5e4_llama-bct-da-g4-lr5e4""}",llama-bct-da-g4-lr5e4
lr_hp_llama_rlct_da_g4_lr1e4,artifacts/runs/lr_hp_llama_rlct_da_g4_lr1e4/metadata/config.yaml,rlct-da-g4-lr1e4,rlct_da_g4_lr1e4,meta-llama/Llama-3.1-8B-Instruct,rl,da_g4,mmlu,truthfulqa,cot,False,0.0001,constant,8.0,0.05,0.0,base,ppo,32.0,32.0,32.0,32.0,1.0,16384.0,64.0,1.0,8.0,1.0,1.0,0.0,,,,artifacts/eval_suites/lr_hparam_truthfulqa/eval_logs,150.0,50.0,da_g4+df+sa+ss+wfs,686.0,0.2971014492753623,0.24375991108221692,0.82809127351218,0.9140858815804883,0.5783545100149825,1.1897888795986622,0.7429302446153595,1.1216156873171723,0.34782608695652173,0.28574976336066693,0.8136645962732919,0.893801774555411,0.5517241379310345,"{""experiment_name"": ""lr_hp_llama_rlct_da_g4_lr1e4"", ""run_name"": ""llama-rlct-da-g4-lr1e4"", ""checkpoint"": ""tinker://65991712-9bc0-542e-88e7-a3d6a702773b:train:0/sampler_weights/lr_hp_llama_rlct_da_g4_lr1e4_llama-rlct-da-g4-lr1e4""}",llama-rlct-da-g4-lr1e4
lr_hp_llama_rlct_da_g4_lr2p86e4,artifacts/runs/lr_hp_llama_rlct_da_g4_lr2p86e4/metadata/config.yaml,rlct-da-g4-lr2p86e4,rlct_da_g4_lr2p86e4,meta-llama/Llama-3.1-8B-Instruct,rl,da_g4,mmlu,truthfulqa,cot,False,0.000286,constant,8.0,0.05,0.0,base,ppo,32.0,32.0,32.0,32.0,1.0,16384.0,64.0,1.0,8.0,1.0,1.0,0.0,,,,artifacts/eval_suites/lr_hparam_truthfulqa/eval_logs,150.0,50.0,da_g4+df+sa+ss+wfs,684.0,0.1,0.20501089195496763,0.27872340425531916,0.7687792511667441,0.1472373949579832,0.4626889534883718,0.6121546052631578,0.9469727551925025,0.19285714285714287,0.2660136103340551,0.4511479591836735,0.8320687099655456,0.5694444444444444,"{""experiment_name"": ""lr_hp_llama_rlct_da_g4_lr2p86e4"", ""run_name"": ""llama-rlct-da-g4-lr2p86e4"", ""checkpoint"": ""tinker://50165aa9-54e4-54d6-b769-3d5255e10024:train:0/sampler_weights/lr_hp_llama_rlct_da_g4_lr2p86e4_llama-rlct-da-g4-lr2p86e4""}",llama-rlct-da-g4-lr2p86e4
lr_hp_llama_rlct_da_g4_lr5e4,artifacts/runs/lr_hp_llama_rlct_da_g4_lr5e4/metadata/config.yaml,rlct-da-g4-lr5e4,rlct_da_g4_lr5e4,meta-llama/Llama-3.1-8B-Instruct,rl,da_g4,mmlu,truthfulqa,cot,False,0.0005,constant,8.0,0.05,0.0,base,ppo,32.0,32.0,32.0,32.0,1.0,16384.0,64.0,1.0,8.0,1.0,1.0,0.0,,,,artifacts/eval_suites/lr_hparam_truthfulqa/eval_logs,150.0,50.0,da_g4+df+sa+ss+wfs,517.0,0.07792207792207792,0.2314304968965986,0.21718706825089804,0.8678512756307403,0.06939880952380953,0.4083116883116883,0.7268921266233767,1.1255728994802838,0.14285714285714285,0.28064485140756323,0.33418367346938777,0.8778340295292352,0.5343511450381679,"{""experiment_name"": ""lr_hp_llama_rlct_da_g4_lr5e4"", ""run_name"": ""llama-rlct-da-g4-lr5e4"", ""checkpoint"": ""tinker://2ab2b021-7c5a-57b7-b59b-8d509d9cd372:train:0/sampler_weights/lr_hp_llama_rlct_da_g4_lr5e4_llama-rlct-da-g4-lr5e4""}",llama-rlct-da-g4-lr5e4
nr_hp_gpt20b_rlct_da_g4_r128,artifacts/runs/nr_hp_gpt20b_rlct_da_g4_r128/metadata/config.yaml,rlct-da-g4-20b-r128,rlct_da_g4_20b_r128,openai/gpt-oss-20b,rl,da_g4,mmlu,truthfulqa,no_cot,False,0.000286,constant,8.0,0.05,0.0,base,ppo,128.0,128.0,128.0,128.0,1.0,24576.0,64.0,1.0,8.0,1.0,1.0,0.0,,,,artifacts/eval_suites/lr_hparam_truthfulqa/eval_logs,150.0,50.0,da_g4+df+sa+ss+wfs,727.0,0.09523809523809523,0.13499436936936937,1.0695970695970696,0.9067595122058537,0.5321245421245421,2.358843537414966,0.6831007024577599,1.228744111725416,0.11564625850340136,0.1453641141141141,0.9931972789115647,0.8761793017150128,0.8040540540540541,"{""experiment_name"": ""nr_hp_gpt20b_rlct_da_g4_r128"", ""run_name"": ""gpt-oss-20b-rlct-da-g4-r128"", ""checkpoint"": ""tinker://f2b7dd0c-5739-5cf0-adde-8d9d66c00833:train:0/sampler_weights/nr_hp_gpt20b_rlct_da_g4_r128_gpt-oss-20b-rlct-da-g4-r128""}",gpt-oss-20b-rlct-da-g4-r128
